id,url,action,label,decided_at,notes,summary,summary_generated_at,selected_for_newsletter,newsletter_category_override
c8941f7c-4c82-437b-b3fe-9e00266c1555,https://schoolsweek.co.uk/education-is-failing-to-prepare-children-for-adulthood-finds-government-review/,reject,,2026-06-01T08:06:55.582789+00:00,,,,False,
6978ca9a-f020-4233-9e36-0988afe4adfc,https://neu.org.uk/latest/press-releases/neu-comment-alan-milburns-neets-report,reject,,2026-06-01T08:07:04.808809+00:00,,,,False,
ee0f4e31-982d-4e9c-907d-5a2651cd1562,https://www.theguardian.com/education/2026/may/28/standing-up-for-our-children-parents-divided-over-london-teachers-strikes,reject,,2026-06-01T08:07:10.557836+00:00,,,,False,
386e533c-acb1-444b-aaa1-8c2d39678c13,https://schoolsweek.co.uk/dfe-guidance-suggests-schools-use-ai-to-draft-send-support-plans/,reject,,2026-06-01T08:07:39.70481+00:00,,,,False,
89b433c5-2748-406f-afe1-496f5830d15d,https://digitalpovertyalliance.org/projects/dpa-and-easyjet-launch-tech4takeoff-for-students/,reject,,2026-06-01T08:07:44.619328+00:00,,,,False,
43aa05b5-c75c-4ee4-83f1-1116eb29d128,https://schoolsweek.co.uk/an-inspection-reduced-me-to-tears-ofsteds-response-was-inadequate/,reject,,2026-06-01T08:07:48.173542+00:00,,,,False,
6d749fa6-da88-459a-b1a7-f53e4ab87534,https://www.gov.uk/guidance/contracted-ofsted-inspectors-for-early-years-childcare-and-social-care,reject,,2026-06-01T08:07:59.668541+00:00,,,,False,
cec0acfc-dc89-4c0d-a4ee-3fb98fb30edc,https://schoolsweek.co.uk/movers-and-shakers-palladian-teach-first-concordia/,reject,,2026-06-01T08:08:02.476339+00:00,,,,False,
5867cbff-e2a1-44fb-a121-3dc1bdeb6210,https://www.gov.uk/guidance/contracted-ofsted-inspectors-for-schools-and-further-education-and-skills,reject,,2026-06-01T08:08:05.205484+00:00,,,,False,
de2de0bc-8498-41fb-97de-76c02e9fba5c,https://schoolsweek.co.uk/councils-bids-to-overturn-special-school-cancellations-rejected/,reject,,2026-06-01T08:08:08.286486+00:00,,,,False,
